sex,height,weight
F,1.73,59.5
F,1.73,79.8
M,1.78,86.0
F,1.58,52.4
F,1.59,51.7
M,1.93,329.7
M,1.92,99.3
M,1.65,71.6
M,1.82,89.7
M,2.02,84.3
F,1.54,61.1
F,1.85,201.9
M,1.84,69.0
M,1.8,93.5
F,1.67,183.7
F,1.72,87.8
M,1.84,99.3
F,1.72,72.3
M,1.68,65.2
F,1.62,76.5
F,1.66,209.3
F,1.6,76.0
M,1.84,68.6
F,1.61,48.6
F,1.55,60.8
F,1.8,92.3
M,1.81,62.4
F,1.44,58.8
F,1.69,74.6
F,1.7,54.6
M,1.81,92.2
F,1.63,69.4
F,1.73,79.1
M,1.72,253.6
M,1.57,52.4
M,1.88,206.1
F,1.74,57.2
M,1.71,83.4
M,1.87,91.3
F,1.65,53.9
M,1.84,98.7
M,1.81,93.8
M,1.71,60.8
F,1.75,126.9
F,1.67,56.2
M,1.6,53.4
F,1.67,66.9
F,1.64,62.3
F,1.64,77.3
F,1.63,52.1
F,1.59,62.7
F,1.73,82.6
M,1.72,66.0
F,1.71,82.5
M,1.7,69.0
F,1.47,50.7
M,1.87,78.7
F,1.69,70.7
M,1.68,80.8
F,1.71,91.5
F,1.61,59.5
M,1.97,85.7
F,1.49,65.8
M,1.71,78.2
F,1.64,53.7
F,1.6,54.1
M,1.65,167.8
F,1.61,170.2
M,1.56,46.3
M,1.51,46.5
M,1.76,71.8
F,1.68,57.7
M,1.72,75.1
M,1.61,182.8
F,1.72,86.5
M,1.82,66.8
M,1.76,80.5
F,1.74,201.5
M,1.91,82.8
M,1.69,71.6
M,1.81,66.3
F,1.5,106.9
M,1.53,45.9
M,1.77,90.8
M,1.73,72.4
F,1.52,69.1
F,1.43,55.4
M,1.78,85.3
M,1.78,45.5
M,1.64,70.1
M,1.77,70.0
F,1.67,59.8
M,1.64,74.2
F,1.53,52.1
M,1.77,90.5
F,1.72,75.1
M,1.67,52.8
F,1.58,62.5
F,1.67,67.4
M,1.79,63.6
M,1.86,88.7
F,1.69,64.2
F,1.58,60.4
M,1.72,71.9
M,1.83,92.0
M,1.75,60.2
M,1.71,65.1
F,1.57,45.7
F,1.62,76.3
M,1.76,86.7
M,1.88,70.4
M,1.69,74.1
M,1.71,71.2
F,1.55,149.1
F,1.5,47.2
F,1.67,68.9
M,1.72,84.5
F,1.76,264.8
M,1.57,55.9
F,1.55,56.0
M,1.89,75.0
M,1.79,81.9
F,1.62,69.2
M,1.69,53.1
M,1.84,71.8
F,1.69,70.2
F,1.66,169.0
F,1.7,71.1
F,1.84,65.5
F,1.69,58.0
F,1.65,52.2
M,1.66,78.7
M,1.61,75.0
F,1.5,46.5
F,1.85,67.5
F,1.6,48.2
M,1.65,138.2
M,1.69,54.6
M,1.81,61.1
M,1.71,73.7
M,1.67,53.8
M,1.78,61.1
F,1.59,71.8
F,1.62,226.7
M,1.81,50.7
M,1.8,68.4
M,1.93,69.9
M,1.63,63.5
M,1.76,79.6
M,1.72,74.0
F,1.54,69.3
M,1.89,96.3
F,1.61,57.0
F,1.67,56.8
M,1.73,69.9
F,1.49,177.5
F,1.41,151.0
M,1.86,76.6
F,1.52,58.5
M,1.62,57.8
M,1.8,90.7
M,1.68,139.1
F,1.46,39.6
M,1.75,60.8
F,1.59,75.4
M,1.73,107.3
M,1.8,81.1
M,1.78,96.4
M,1.83,74.2
F,1.62,52.4
F,1.63,58.5
F,1.53,53.5
M,1.78,83.0
M,1.91,103.4
M,1.69,70.0
M,1.84,72.6
M,1.88,69.4
F,1.58,59.1
F,1.71,55.1
F,1.56,51.1
F,1.8,70.4
F,1.56,68.2
F,1.6,55.4
F,1.57,186.5
M,1.79,75.3
F,1.59,65.8
M,1.6,230.1
F,1.46,49.5
M,1.68,79.0
M,1.87,77.7
M,1.85,97.8
F,1.56,65.8
M,1.81,200.3
M,1.71,76.9
F,1.46,44.6
F,1.52,60.7
M,1.79,58.0
M,1.84,64.2
F,1.6,54.6
M,1.76,102.0
M,1.97,105.3
F,1.58,63.4
M,1.67,52.4
M,1.8,90.4
M,2.0,48.5
M,1.61,65.5
M,1.78,67.1
F,1.6,50.5
F,1.78,63.2
F,1.67,67.3
M,1.6,41.0
M,1.77,86.4
F,1.78,89.9
F,1.84,72.1
M,1.75,63.6
F,1.84,72.0
F,1.61,57.1
F,1.47,102.9
M,1.81,252.9
F,1.63,71.2
F,1.47,51.0
F,1.62,61.8
M,1.68,83.8
M,1.74,43.4
F,1.75,74.6
M,1.79,82.2
M,1.79,89.0
M,1.71,81.8
F,1.63,65.7
F,1.72,62.2
M,1.85,66.8
M,1.65,199.6
M,1.99,84.5
F,1.75,72.2
F,1.65,79.2
F,1.6,98.1
F,1.52,53.4
F,1.72,82.0
F,1.54,53.2
F,1.66,210.6
F,1.65,80.7
F,1.7,77.3
F,1.72,88.4
F,1.65,75.0
M,1.86,83.1
F,1.63,67.0
F,1.73,88.6
F,1.48,41.2
M,1.84,81.9
M,1.9,99.0
M,1.75,73.4
M,1.76,66.9
F,1.69,77.9
F,1.57,65.0
M,1.76,69.1
M,1.48,58.2
F,1.53,46.5
F,1.82,87.3
F,1.62,56.8
F,1.72,71.6
F,1.65,66.1
M,1.78,86.6
M,1.74,57.4
F,1.65,44.2
M,1.65,52.0
F,1.6,71.3
M,1.54,57.7
M,1.59,56.9
M,1.83,112.2
F,1.66,55.6
M,1.87,80.0
F,1.58,74.2
F,1.51,60.7
M,1.65,62.1
M,1.61,65.8
F,1.53,55.7
M,1.72,63.0
M,1.68,80.0
M,1.75,63.8
M,1.69,119.9
M,1.69,189.2
M,1.73,64.1
F,1.48,77.1
F,1.72,264.6
F,1.9,86.2
F,1.71,71.0
F,1.77,65.4
F,1.58,134.8
F,1.62,70.1
M,1.76,88.3
M,1.89,103.5
F,1.52,55.7
M,1.77,72.0
M,1.66,69.0
M,1.76,69.1
M,1.66,73.3
M,1.68,58.1
M,1.92,105.6
M,1.93,85.0
M,1.85,64.5
F,1.58,56.4
F,1.75,87.4
F,1.74,132.1
M,1.67,52.5
M,1.68,69.6
F,1.42,42.6
F,1.52,51.6
M,1.76,61.4
F,1.68,70.2
F,1.46,55.3
F,1.7,65.9
F,1.61,56.8
M,1.74,89.1
M,1.69,74.3
F,1.56,63.3
F,1.64,68.4
F,1.45,57.3
F,1.53,60.1
F,1.67,75.7
M,1.66,53.5
F,1.58,61.9
F,1.68,72.2
F,1.65,51.1
F,1.58,69.8
M,1.86,79.2
M,1.68,67.8
M,1.71,66.2
F,1.7,31.4
F,1.72,93.5
M,1.8,66.1
F,1.47,47.8
M,1.78,69.5
M,1.86,102.5
F,1.48,53.7
F,1.63,71.5
F,1.53,44.6
F,1.61,76.9
F,1.69,70.7
F,1.49,42.9
M,1.97,113.8
M,1.98,75.1
M,1.84,100.8
F,1.68,77.2
F,1.73,72.0
F,1.62,59.1
M,1.59,63.8
M,1.92,70.0
M,1.83,70.0
F,1.62,77.0
F,1.83,87.0
F,1.59,59.3
M,1.74,105.7
F,1.68,77.3
M,1.8,82.3
F,1.58,54.3
M,1.67,54.6
M,1.94,83.9
F,1.61,48.1
M,1.66,51.4
F,1.55,55.1
F,1.68,57.1
F,1.72,239.5
F,1.48,62.0
F,1.62,64.1
M,1.74,58.5
M,1.71,59.5
M,1.86,84.0
F,1.76,68.0
M,2.06,100.5
M,1.71,66.4
F,1.55,114.9
F,1.55,70.3
M,1.69,61.8
F,1.51,67.7
M,1.71,55.3
F,1.71,188.7
M,1.85,257.7
M,2.0,89.9
M,1.78,78.3
M,1.81,62.3
F,1.8,76.5
F,1.76,227.8
F,1.5,51.8
F,1.87,226.3
F,1.67,63.8
F,1.63,58.9
M,1.65,91.0
M,1.82,285.3
F,1.54,53.5
M,1.91,74.4
M,1.96,80.5
M,1.89,98.4
F,1.6,61.3
F,1.39,47.5
M,1.68,66.7
F,1.58,71.8
F,1.6,62.2
F,1.43,40.2
F,1.71,73.8
M,1.67,65.5
F,1.75,62.5
M,1.7,65.9
M,1.59,53.6
F,1.5,51.0
M,1.9,74.7
F,1.49,42.1
F,1.69,62.7
M,1.73,65.7
M,1.58,67.9
M,1.78,83.5
F,1.73,47.1
F,1.73,68.7
F,1.55,49.7
F,1.7,71.7
M,1.79,63.0
M,1.66,61.6
F,1.76,70.4
F,1.74,82.6
M,1.74,89.7
F,1.8,66.0
F,1.36,34.6
F,1.58,55.6
M,1.95,104.9
F,1.71,74.0
M,1.77,70.0
F,1.5,55.1
M,1.8,277.3
M,1.74,129.1
M,1.64,57.5
M,1.86,73.2
M,1.76,85.4
M,1.72,80.6
F,1.71,87.3
M,1.83,67.9
F,1.66,80.2
M,1.72,81.7
F,1.71,81.0
M,1.75,81.2
M,1.83,78.6
F,1.79,208.1
F,1.72,86.9
M,1.47,46.9
F,1.9,106.3
M,1.87,74.5
F,1.67,142.5
M,1.78,93.7
M,1.67,206.0
F,1.68,72.8
M,1.69,78.1
F,1.6,56.5
M,1.95,80.4
M,1.85,72.0
F,1.54,153.3
M,1.58,63.9
M,1.79,57.5
M,1.87,77.3
M,1.77,75.9
M,1.8,64.9
M,1.6,55.2
F,1.64,75.5
M,1.9,100.1
M,1.72,64.5
M,1.82,80.5
F,1.49,51.5
M,1.83,98.3
F,1.64,93.3
M,1.71,75.7
F,1.73,68.3
M,1.71,54.2
F,1.65,64.4
M,1.83,96.9
F,1.68,55.2
F,1.58,56.4
M,1.72,59.4
F,1.54,50.3
F,1.57,66.3
M,1.68,141.6
M,1.68,65.1
F,1.59,48.4
M,1.77,84.6
M,1.84,186.7
F,1.67,72.6
M,1.89,94.9
M,1.64,79.1
M,1.64,70.7
F,1.69,77.4
F,1.79,174.7
F,1.62,75.2
M,1.89,80.1
F,1.49,43.9
F,1.47,55.1
M,1.65,61.9
F,1.58,177.0
M,1.56,49.1
M,1.82,97.2
M,1.79,93.4
F,1.58,41.0
F,1.81,88.6
F,1.8,77.3
M,1.7,61.0
M,1.68,72.0
F,1.59,62.8
F,1.57,66.1
F,1.64,59.2
M,1.91,80.9
M,1.65,53.3
F,1.61,49.1
F,1.52,64.6
F,1.64,73.5
M,1.72,67.3
F,1.7,81.9
F,1.58,69.9
F,1.6,55.3
F,1.52,32.1
F,1.59,48.7
M,1.62,78.1
M,1.69,54.0
F,1.54,91.0
F,1.62,165.4
F,1.67,76.6
M,1.92,108.0
M,1.85,77.9
M,1.84,106.2
F,1.43,81.5
F,1.55,70.9
F,1.79,228.2
F,1.58,72.9
M,1.69,68.6
F,1.45,46.7
F,1.76,59.2
M,1.65,62.8
M,1.72,80.3
M,1.56,57.9
F,1.42,95.0
M,1.99,86.0
F,1.67,61.0
M,1.79,65.5
M,1.81,67.6
F,1.55,55.0
F,1.62,53.1
M,1.74,69.4
M,1.66,79.5
F,1.72,56.2
F,1.63,213.2
F,1.63,208.9
F,1.73,77.8
M,1.8,130.6
F,1.71,55.1
F,1.66,79.6
F,1.69,67.9
F,1.59,66.0
M,1.93,72.9
M,1.83,88.4
M,1.74,64.7
M,1.91,93.8
M,1.69,59.2
M,1.85,68.3
M,1.67,53.2
M,1.7,78.2
M,1.59,74.6
M,1.75,82.2
M,1.79,78.7
M,1.82,71.7
F,1.64,74.8
M,1.63,77.0
F,1.54,110.5
F,1.68,77.3
F,1.57,60.8
M,1.7,68.6
F,1.84,112.8
F,1.82,86.8
F,1.72,79.8
F,1.52,120.4
M,1.84,98.9
M,1.82,89.8
F,1.6,70.8
F,1.78,60.1
F,1.68,54.3
M,1.7,77.7
F,1.64,51.4
M,1.61,57.7
M,1.45,59.6
F,1.54,55.9
M,1.76,68.9
M,1.69,65.9
M,1.85,63.5
M,1.69,77.7
M,1.77,85.4
M,1.87,93.9
M,1.91,107.9
M,1.42,40.8
F,1.65,52.2
F,1.67,53.5
M,1.81,72.1
M,1.68,118.8
F,1.52,64.2
F,1.62,60.1
F,1.55,66.7
M,1.8,60.5
M,1.99,190.5
F,1.42,56.1
F,1.59,54.4
M,1.97,113.2
F,1.62,74.7
F,1.72,69.6
M,1.85,102.3
M,1.85,64.4
M,1.73,62.8
F,1.45,54.7
F,1.62,65.7
M,1.8,60.1
M,1.69,60.0
F,1.7,83.1
M,1.64,69.2
M,1.62,56.1
M,1.77,90.2
F,1.59,58.6
M,1.62,60.3
F,1.61,61.4
M,1.94,310.1
F,1.58,69.4
F,1.74,193.0
M,1.59,75.5
F,1.73,120.8
M,1.64,54.0
F,1.51,46.6
F,1.63,58.0
M,1.74,64.9
M,1.84,222.7
M,1.86,100.2
M,1.76,69.0
M,1.8,76.3
M,1.88,92.7
F,1.51,98.8
F,1.79,90.4
F,1.59,54.3
F,1.74,63.3
F,1.73,72.9
M,1.79,86.9
M,1.82,67.6
F,1.64,55.2
F,1.48,57.5
M,1.61,56.1
M,1.69,53.4
M,1.61,67.0
F,1.9,66.9
M,1.82,96.9
M,1.79,62.2
M,1.72,74.5
F,1.59,49.0
M,1.86,77.0
F,1.71,63.4
F,1.64,62.6
F,1.48,64.5
M,1.77,56.5
M,1.73,52.3
F,1.88,72.2
F,1.44,54.9
M,1.98,94.2
F,1.55,54.0
M,1.71,72.5
M,1.64,65.4
F,1.63,67.1
F,1.55,71.0
M,1.61,155.9
F,1.58,63.9
F,1.83,76.6
M,1.78,62.6
M,1.83,87.4
F,1.67,116.0
F,1.48,112.1
F,1.73,71.5
F,1.44,49.0
F,1.75,79.2
F,1.57,128.3
F,1.51,29.8
F,1.64,50.4
F,1.66,54.7
M,1.79,178.7
M,1.84,82.7
F,1.49,66.3
M,1.65,77.2
M,1.78,59.5
F,1.52,51.9
F,1.7,219.7
M,1.71,83.8
M,1.72,83.8
F,1.6,60.1
M,1.86,216.9
F,1.39,54.4
M,1.8,87.6
M,1.63,34.9
F,1.61,71.1
F,1.57,61.0
F,1.8,63.6
F,1.97,90.5
F,1.53,62.4
F,1.67,71.7
F,1.58,57.7
M,1.68,56.9
F,1.6,72.4
F,1.81,62.4
F,1.65,54.2
F,1.59,73.3
M,1.68,62.3
F,1.75,69.0
M,1.8,61.1
M,1.76,61.1
M,1.88,103.6
F,1.77,65.1
F,1.66,55.8
M,1.9,97.7
M,1.79,85.5
F,1.63,68.6
F,1.62,54.5
M,1.67,73.8
M,1.89,86.5
F,1.68,58.2
F,1.42,40.0
M,1.77,64.5
F,1.54,55.9
M,1.79,69.4
M,1.74,58.9
F,1.65,71.7
M,1.66,74.2
M,1.78,77.6
M,1.69,69.0
M,1.66,53.8
M,1.88,72.6
F,1.66,151.8
F,1.59,57.6
M,1.8,76.9
M,1.74,79.8
F,1.7,75.0
F,1.6,61.7
M,1.69,64.3
F,1.59,48.3
M,1.75,87.3
F,1.64,66.8
F,1.48,50.0
F,1.63,61.9
F,1.8,56.8
F,1.69,78.8
M,1.77,92.0
F,1.51,62.7
M,1.7,55.6
M,1.79,95.0
F,1.62,69.7
F,1.51,54.5
F,1.72,69.1
F,1.61,77.3
F,1.82,70.7
M,1.7,59.9
M,1.73,125.5
M,1.76,66.6
F,1.66,53.8
F,1.5,48.4
F,1.65,79.2
F,1.54,69.0
M,1.92,91.5
F,1.67,76.0
M,1.81,96.5
F,1.69,69.8
M,1.79,62.9
F,1.54,49.9
M,1.69,57.3
M,1.77,81.3
M,1.79,92.5
F,1.55,65.4
M,1.7,74.5
F,1.56,52.5
F,1.59,72.2
M,1.62,74.4
M,1.68,41.0
M,1.8,91.4
M,1.82,83.2
M,1.77,81.5
M,1.73,84.4
F,1.66,79.6
F,1.63,115.8
M,1.78,72.0
F,1.55,62.0
M,1.76,68.0
M,1.79,77.9
M,1.73,87.6
F,1.71,73.3
F,1.57,70.9
M,1.78,91.0
F,1.76,74.2
M,1.83,73.3
M,1.79,134.7
F,1.78,94.1
F,1.55,45.5
M,1.72,102.0
M,1.78,73.3
F,1.65,57.3
F,1.58,212.3
F,1.61,56.8
F,1.49,62.1
M,1.85,198.7
F,1.55,55.2
M,1.67,56.6
M,1.65,63.7
M,1.68,67.9
M,1.66,71.5
F,1.56,189.5
M,1.85,85.6
M,1.9,101.6
M,1.67,82.3
M,1.7,57.4
M,1.74,75.3
F,1.6,69.9
M,1.75,88.2
F,1.61,69.0
M,1.61,75.8
F,1.78,82.2
F,1.65,51.7
F,1.61,58.6
F,1.82,69.5
M,1.66,60.3
F,1.45,51.2
F,1.8,90.3
M,1.84,93.5
F,1.65,51.3
F,1.7,78.9
M,1.61,50.9
M,1.63,68.7
F,1.44,176.1
M,1.61,76.7
F,1.68,75.1
M,1.87,104.4
F,1.71,66.8
M,1.91,83.7
F,1.71,55.0
F,1.53,61.7
F,1.56,51.2
M,1.89,98.7
M,1.78,60.4
F,1.69,59.5
F,1.47,49.6
M,1.66,73.1
M,1.85,83.9
M,1.74,258.3
M,1.83,97.7
F,1.57,68.5
F,1.72,60.1
M,1.78,63.6
M,1.78,89.8
F,1.77,67.3
F,1.55,59.4
M,1.77,93.1
F,1.68,54.3
F,1.49,51.8
F,1.62,73.0
M,1.74,85.8
M,1.8,91.5
F,1.56,57.2
M,1.6,53.6
M,1.97,73.4
F,1.68,80.7
F,1.57,186.7
M,1.6,75.7
F,1.62,51.0
M,1.87,98.4
F,1.55,70.3
M,1.66,76.5
M,1.89,101.3
M,1.76,61.5
F,1.52,44.9
M,1.82,62.2
F,1.64,55.2
F,1.54,62.7
F,1.45,42.5
M,1.68,69.9
M,1.86,67.1
F,1.71,62.2
F,1.69,81.6
M,1.79,60.0
F,1.47,48.7
M,1.79,78.9
M,1.65,80.0
F,1.74,88.1
F,1.57,56.6
M,1.84,77.0
M,1.82,74.2
M,1.65,64.5
F,1.59,67.3
F,1.73,73.0
M,1.6,66.7
F,1.58,64.7
M,1.7,60.3
F,1.49,48.3
F,1.67,32.9
F,1.61,72.6
F,1.46,53.4
F,1.45,39.5
F,1.69,67.5
M,1.9,96.4
F,1.62,54.2
M,1.87,71.0
F,1.7,71.6
F,1.56,52.1
F,1.77,86.1
M,1.65,52.5
F,1.55,49.3
F,1.65,39.6
F,1.64,76.1
F,1.56,50.1
F,1.59,54.8
F,1.51,52.6
F,1.66,62.7
F,1.48,172.9
M,1.56,58.4
M,1.72,74.3
F,1.54,68.7
M,1.77,83.9
F,1.63,57.3
M,1.82,68.7
M,1.86,90.3
M,1.58,64.6
M,1.77,58.2
F,1.61,64.1
F,1.61,97.5
M,1.67,63.1
F,1.56,58.5
M,1.85,81.1
M,1.49,64.3
F,1.7,226.0
M,1.78,61.9
M,1.71,54.4
F,1.68,55.5
F,1.6,62.3
F,1.55,54.4
F,1.61,73.6
F,1.83,80.5
M,1.82,72.8
M,1.82,79.0
F,1.64,220.5
M,1.7,85.0
M,1.96,73.9
F,1.55,48.2
F,1.48,54.2
M,1.76,79.8
M,1.87,66.5
M,1.79,69.3
M,1.53,54.4
F,1.51,192.9
M,1.72,83.7
F,1.52,53.9
F,1.66,58.6
F,1.68,68.5
M,1.84,95.9
F,1.62,51.7
F,1.46,62.4
M,1.95,110.3
F,1.55,45.1
F,1.43,46.4
M,1.8,72.3
F,1.62,51.9
M,1.79,71.6
F,1.64,143.4
M,1.8,90.8
M,1.78,66.1
F,1.58,48.1
F,1.48,43.1
F,1.56,196.8
M,1.57,68.9
M,1.85,58.9
F,1.63,57.1
F,1.66,149.8
M,1.62,58.7
M,1.64,56.3
F,1.58,64.8
M,1.61,68.4
F,1.71,218.5
F,1.56,66.9
M,1.79,83.4
F,1.38,49.2
M,1.83,89.8
M,1.78,61.9
M,1.73,80.2
F,1.7,76.3
M,1.85,78.7
F,1.59,69.0
F,1.72,214.7
M,1.68,80.1
M,1.81,291.4
M,1.66,114.5
M,1.71,78.3
F,1.62,49.9
M,1.6,54.6
F,1.63,53.0
M,1.72,69.3
M,1.71,78.9
M,1.92,97.7
F,1.58,61.0
M,1.79,82.4
M,1.89,102.5
F,1.71,215.3
F,1.71,76.6
M,1.85,156.4
F,1.55,65.0
F,1.74,67.3
F,1.58,69.4
M,1.81,73.9
M,1.89,94.2
F,1.45,58.5
M,1.95,86.4
F,1.72,85.6
F,1.58,62.8
M,1.91,82.5
M,1.8,60.9
M,1.69,60.5
M,1.85,218.7
M,1.69,255.6
M,1.9,106.3
M,1.6,67.2
F,1.78,133.4
M,1.73,80.0
F,1.8,62.8
F,1.83,85.0
M,1.58,68.6
F,1.68,81.9
M,1.75,67.5
M,1.61,48.2
M,1.71,60.1
M,1.85,69.3
F,1.68,76.5
M,1.84,65.8
F,1.67,77.3
F,1.59,52.4
F,1.69,76.6
M,1.7,88.9
F,1.53,138.1
M,1.93,296.8
M,1.85,100.0
M,1.6,67.0
F,1.8,63.8
M,1.87,94.2
F,1.74,80.4
F,1.67,64.1
M,1.66,58.9
F,1.57,59.2
M,1.69,65.0
F,1.79,43.2
F,1.57,65.8
F,1.68,30.7
M,1.7,65.1
M,1.77,74.7
M,1.83,82.5
M,1.68,52.4
M,1.76,96.7
F,1.61,77.1
F,1.82,74.0
M,1.71,81.1
M,1.69,64.0
M,1.64,115.6
M,1.74,69.9
M,1.79,172.3
M,1.62,75.1
F,1.6,228.2
F,1.44,54.2
F,1.58,46.8
M,1.97,75.5
M,1.59,55.3
M,1.82,64.7
F,1.68,75.7
M,1.88,79.3
F,1.71,243.5
M,1.69,58.8
M,1.77,47.0
F,1.63,69.8
F,1.57,68.1
M,1.84,98.4
F,1.62,48.8
M,1.7,68.7
M,1.97,107.8
M,1.78,67.6
F,1.67,57.4
F,1.64,65.5
F,1.62,222.3
M,1.92,76.0
F,1.64,64.3
M,1.7,145.2
F,1.75,57.1
M,1.84,95.9
F,1.57,53.9
M,1.78,67.2
F,1.86,89.5
M,1.92,85.0
M,1.72,72.4
M,1.79,162.4
M,1.78,135.6
F,1.61,74.8
F,1.71,74.9
F,1.77,75.3
M,1.83,81.0
M,1.76,90.8
F,1.68,56.3
F,1.75,78.9
F,1.42,51.2
M,1.87,68.9
F,1.38,55.1
M,1.54,55.5
M,1.73,125.5
F,1.56,63.0
M,1.87,101.0
M,1.92,94.1
F,1.58,60.2
M,1.71,71.7
M,1.79,75.0
F,1.74,61.0
M,1.84,92.6
M,1.74,82.8
M,1.54,46.3
F,1.64,150.4
M,1.64,151.4
F,1.53,43.9
M,1.73,55.8
F,1.57,103.6
M,1.9,80.1
F,1.52,44.9
M,1.78,77.3
F,1.62,64.4
F,1.52,201.7
F,1.54,70.2
M,1.67,67.9
M,1.85,78.5
M,1.82,39.1
F,1.66,80.7
M,1.79,60.3
F,1.54,65.3
M,1.8,93.0
M,1.9,74.1
F,1.84,148.2
F,1.51,198.7
F,1.61,182.5
F,1.65,144.3
M,1.67,64.1
M,1.8,83.3
M,1.75,152.7
M,1.73,81.3
M,1.73,64.2
F,1.53,56.5
M,1.91,291.0
F,1.65,78.7
F,1.64,71.4
M,1.88,77.9
M,1.86,86.8
F,1.63,60.9
M,1.81,68.1
M,1.66,74.7
M,1.7,64.5
M,1.77,90.8
F,1.46,63.6
F,1.72,56.4
F,1.61,74.5
F,1.63,27.6
F,1.71,77.0
M,1.7,145.6
M,1.66,74.9
M,1.81,76.1
F,1.65,78.0
M,1.66,56.0
F,1.69,68.4
F,1.55,63.5
M,1.78,128.9
M,1.66,135.9
M,1.68,76.6
F,1.61,30.6
M,1.72,79.1
F,1.59,61.5
F,1.64,150.6
F,1.56,60.5
F,1.51,43.4
M,1.72,55.3
M,1.82,100.3
F,1.35,36.1
F,1.63,67.7
M,1.78,91.4
F,1.55,51.1
F,1.63,49.2
F,1.46,40.1
F,1.46,42.8
M,1.61,58.6
F,1.66,76.5
M,1.63,78.6
M,1.83,248.7
M,1.84,69.2
M,1.7,56.0
M,1.69,67.2
F,1.65,59.8
F,1.69,61.9
F,1.53,58.0
M,1.68,52.5
M,1.94,98.0
M,1.97,224.7
F,1.56,212.7
M,1.54,53.8
M,1.86,76.4
F,1.68,54.4
M,1.74,262.7
F,1.54,53.2
M,1.75,85.3
F,1.58,56.2
F,1.52,59.5
M,1.76,79.5
F,1.8,63.3
F,1.63,55.2
F,1.55,71.0
F,1.67,56.7
F,1.56,52.4
F,1.76,60.1
M,1.74,122.9
F,1.57,66.7
F,1.59,61.6
M,1.74,70.9
F,1.59,63.7
F,1.53,58.1
M,1.83,80.8
F,1.56,45.7
M,1.74,68.1
F,1.56,62.9
M,1.71,64.0
F,1.6,124.7
M,1.69,83.7
F,1.52,55.6
M,1.81,79.1
F,1.6,51.6
F,1.69,53.8
F,1.66,58.4
F,1.51,53.4
M,1.73,78.5
F,1.58,55.5
F,1.73,58.9
M,1.62,62.7
F,1.42,40.1
F,1.79,86.7
F,1.75,91.6
F,1.59,51.9
M,1.79,74.8
F,1.75,73.6
F,1.78,68.7
M,1.78,82.4
M,1.81,64.8
M,1.97,333.5
M,1.81,57.6
F,1.53,60.7
F,1.73,204.4
F,1.68,64.3
M,1.69,57.2
F,1.48,53.5
M,1.76,60.7
M,1.7,65.7
M,1.75,61.9
F,1.6,63.3
F,1.7,86.0
F,1.64,33.4
M,1.71,66.9
M,1.77,82.8
F,1.68,79.7
M,1.74,67.1
M,1.82,92.3
F,1.72,119.0
M,1.83,92.5
F,1.66,60.8
M,1.86,90.0
F,1.53,43.7
F,1.55,69.0
M,1.81,71.3
F,1.62,50.6
M,1.73,83.9
F,1.46,44.4
F,1.63,53.9
F,1.6,58.9
F,1.52,163.7
M,1.79,61.5
F,1.67,82.9
M,1.82,80.4
F,1.68,65.9
F,1.59,50.2
F,1.66,52.3
M,1.93,223.5
M,1.78,89.9
F,1.53,62.7
M,1.8,87.8
M,1.78,79.5
