sex,height,weight
F,1.39,36.0
F,1.52,68.4
F,1.71,82.3
F,1.66,78.4
M,1.65,107.5
F,1.63,74.6
F,1.46,60.7
M,1.84,95.4
F,1.49,47.5
M,1.8,116.2
F,1.73,84.8
M,1.7,100.3
M,1.69,96.5
F,1.57,49.6
M,1.79,93.5
M,1.86,69.9
M,1.71,59.0
M,1.92,97.4
M,1.77,75.6
F,1.61,62.3
F,1.56,63.9
F,1.69,82.4
M,1.71,106.8
M,1.72,56.4
F,1.73,60.4
M,1.67,78.7
M,1.71,91.9
M,1.78,99.9
M,1.82,93.6
F,1.56,68.8
F,1.48,76.3
M,1.75,77.0
M,1.79,94.4
M,1.86,87.8
M,1.75,83.2
M,1.73,79.8
M,1.78,69.6
F,1.51,48.5
F,1.61,49.1
F,1.72,55.2
M,1.77,58.7
F,1.59,61.0
M,1.67,74.8
F,1.49,63.6
M,1.77,60.1
F,1.61,88.9
F,1.58,54.0
M,1.74,72.4
F,1.69,64.8
F,1.67,58.2
M,1.76,83.7
F,1.63,75.6
M,1.73,73.3
F,1.55,44.7
M,1.75,64.5
F,1.56,63.1
M,1.79,61.2
M,1.61,61.6
F,1.81,96.7
M,1.65,80.3
F,1.61,73.2
M,1.75,90.5
M,1.75,67.7
M,1.7,57.0
F,1.57,63.9
M,1.83,120.1
F,1.75,87.5
M,1.66,60.3
M,1.85,87.4
M,1.82,64.6
M,1.72,66.8
F,1.5,58.4
F,1.53,65.4
F,1.62,80.5
F,1.64,65.6
F,1.61,56.0
F,1.67,64.8
M,1.84,70.0
F,1.62,48.8
M,1.68,55.0
M,1.55,55.8
M,1.68,56.2
F,1.59,55.9
F,1.62,57.3
M,1.75,75.6
F,1.61,76.7
F,1.73,63.6
M,1.71,86.5
M,1.67,107.1
M,1.78,59.4
M,1.77,61.9
F,1.69,57.9
M,1.85,80.1
F,1.72,67.1
F,1.56,66.8
F,1.7,97.3
F,1.66,76.9
F,1.75,74.7
F,1.68,54.6
M,1.71,80.1
M,1.75,69.1
M,1.67,80.2
F,1.72,85.4
F,1.62,95.0
M,1.83,75.3
F,1.78,61.6
M,1.72,90.0
F,1.62,51.8
M,1.78,111.6
M,1.82,62.4
F,1.7,61.1
F,1.62,74.7
M,1.67,76.0
M,1.63,53.3
M,1.97,114.3
M,1.75,82.8
F,1.72,67.5
M,1.68,69.4
F,1.51,46.6
F,1.76,65.7
M,1.8,67.0
M,1.79,59.6
M,1.77,68.7
M,1.67,54.4
M,1.74,88.8
M,1.91,107.5
M,1.77,117.4
F,1.65,77.1
M,1.73,117.8
F,1.6,55.0
M,1.73,79.0
M,1.69,53.9
F,1.78,61.6
M,1.69,70.2
M,1.76,72.2
M,1.7,66.2
M,1.69,88.5
M,1.71,84.4
F,1.73,81.8
F,1.72,68.9
M,1.82,70.4
M,1.88,85.5
F,1.73,116.4
M,1.59,62.9
M,1.94,83.2
F,1.63,95.1
F,1.91,101.8
M,1.73,57.5
M,1.83,66.8
F,1.54,47.2
F,1.72,117.8
M,1.66,57.2
F,1.51,59.7
M,1.71,80.2
F,1.34,43.1
F,1.66,75.0
M,1.83,94.2
M,1.84,66.6
F,1.68,57.3
F,1.54,60.6
M,1.63,99.1
M,1.75,88.3
F,1.7,70.4
M,1.79,80.5
M,1.7,66.5
F,1.63,86.2
M,1.51,77.5
M,1.84,59.8
M,1.91,105.9
M,1.55,70.0
F,1.57,41.4
M,1.67,61.6
F,1.51,37.3
M,1.65,51.6
M,2.01,117.6
M,1.62,51.4
M,1.52,48.3
M,1.69,85.1
M,1.69,58.5
M,1.66,53.9
F,1.71,74.7
M,1.82,89.6
M,1.57,73.6
F,1.64,83.2
F,1.67,56.8
F,1.77,73.3
M,1.76,71.9
F,1.76,85.2
M,1.65,98.3
F,1.52,58.4
F,1.79,86.5
F,1.46,46.7
F,1.78,74.7
M,1.78,68.5
F,1.57,47.1
F,1.45,46.5
M,1.69,68.9
F,1.57,67.1
F,1.57,46.8
M,1.77,77.8
F,1.62,66.4
F,1.72,65.3
F,1.63,75.6
M,1.83,79.4
F,1.64,59.7
M,1.78,53.4
M,1.82,130.3
F,1.48,41.3
M,1.74,70.4
F,1.71,96.2
F,1.6,70.0
M,1.77,55.5
F,1.56,46.1
F,1.79,72.5
M,1.64,51.9
M,1.53,55.3
F,1.59,69.6
M,1.75,73.0
F,1.78,67.3
M,1.69,60.2
F,1.63,76.1
M,1.68,57.1
F,1.56,59.9
M,1.62,55.9
M,1.82,79.0
F,1.64,72.2
F,1.66,55.2
M,1.78,60.4
M,1.68,68.2
F,1.61,88.9
F,1.58,54.5
F,1.7,56.3
M,1.69,75.7
F,1.7,62.3
M,1.78,92.8
M,1.59,63.3
M,1.85,83.1
M,1.79,71.2
M,1.75,83.4
M,1.74,67.5
F,1.62,66.3
F,1.5,66.6
M,1.73,93.6
F,1.64,76.5
F,1.38,46.7
F,1.75,80.5
M,1.82,86.0
F,1.59,51.6
F,1.56,58.2
M,1.74,83.7
M,1.71,58.3
F,1.52,56.3
F,1.74,81.8
M,1.8,95.7
M,1.68,78.2
F,1.52,55.0
F,1.67,59.3
M,1.67,55.3
F,1.73,70.5
F,1.65,69.3
F,1.57,45.9
F,1.85,108.5
F,1.59,91.6
F,1.64,70.9
M,1.82,86.6
M,1.71,75.8
F,1.62,73.2
M,1.52,65.0
M,1.82,93.7
M,1.57,64.2
F,1.72,82.4
M,1.73,80.0
M,1.72,96.9
M,2.04,78.5
F,1.58,79.1
M,1.9,105.4
M,1.85,74.1
M,1.61,63.2
F,1.54,52.8
F,1.62,64.4
M,1.86,72.1
M,1.68,48.5
F,1.72,81.4
M,1.69,110.4
F,1.66,79.4
M,1.73,56.4
M,1.88,92.4
F,1.86,91.7
F,1.5,69.0
M,1.73,56.7
M,1.96,148.0
M,1.77,58.1
F,1.59,48.6
M,1.85,73.2
F,1.54,50.9
F,1.55,53.0
M,1.78,110.5
M,1.81,86.2
F,1.59,59.2
F,1.5,57.7
F,1.57,52.1
M,1.73,85.1
F,1.58,70.8
F,1.61,81.2
F,1.66,69.5
F,1.75,69.8
M,1.76,73.5
M,1.81,71.7
F,1.61,57.4
M,1.75,63.1
F,1.51,53.9
F,1.67,98.5
M,1.72,106.2
F,1.8,68.7
M,1.66,94.9
M,1.79,90.0
F,1.93,106.4
F,1.72,60.9
F,1.61,74.7
F,1.61,76.2
M,1.79,67.8
F,1.58,72.0
F,1.69,55.9
F,1.62,60.6
M,1.68,71.2
F,1.74,69.4
M,1.83,130.9
F,1.58,56.3
F,1.68,67.8
F,1.65,52.8
F,1.55,56.7
M,1.87,94.3
M,1.76,75.0
F,1.74,60.0
F,1.64,64.5
M,1.69,65.4
F,1.52,84.4
F,1.66,69.7
F,1.59,49.3
F,1.8,128.7
F,1.57,54.7
F,1.46,40.2
M,1.77,73.9
F,1.44,59.5
F,1.68,85.3
F,1.66,80.3
F,1.7,61.6
F,1.65,66.0
M,1.65,59.8
M,1.78,99.5
M,1.7,77.4
M,1.83,88.0
F,1.47,40.4
M,1.55,61.5
F,1.48,54.5
M,1.66,58.2
M,1.84,100.4
F,1.58,48.4
F,1.56,51.8
F,1.56,72.0
M,1.79,72.8
M,1.86,76.4
F,1.6,69.3
M,1.62,60.7
M,1.81,60.8
F,1.59,47.5
F,1.59,67.5
F,1.77,93.1
F,1.77,101.8
M,1.7,86.3
M,1.86,67.3
F,1.61,61.3
F,1.5,50.7
F,1.66,65.9
M,1.76,59.7
M,1.9,83.5
F,1.65,55.4
F,1.51,43.2
M,1.73,93.5
M,1.83,75.4
M,1.78,74.3
F,1.72,56.3
F,1.58,48.7
F,1.72,75.6
F,1.62,65.1
F,1.49,42.7
F,1.33,41.4
M,1.89,71.1
F,1.61,65.4
F,1.64,65.6
M,1.63,50.0
F,1.67,78.6
F,1.59,49.6
M,1.93,91.9
F,1.74,96.5
M,1.62,53.4
M,1.74,103.8
F,1.63,63.9
M,1.87,72.8
F,1.77,73.7
F,1.63,74.3
F,1.58,49.1
F,1.53,55.6
F,1.74,76.3
M,1.97,108.0
M,1.84,89.7
M,1.75,110.0
F,1.48,51.7
M,1.76,75.5
F,1.79,92.1
M,1.78,77.7
M,1.61,89.1
F,1.78,59.6
M,1.85,58.6
F,1.61,72.0
F,1.66,70.5
F,1.64,57.4
M,1.62,60.1
M,1.82,80.8
F,1.68,68.8
F,1.72,75.9
F,1.66,46.2
F,1.63,72.9
M,1.78,78.5
F,1.67,51.0
F,1.76,93.1
F,1.82,61.8
M,1.81,62.2
M,1.67,92.8
M,1.87,104.3
M,1.6,56.0
M,1.6,70.2
F,1.56,55.6
M,1.72,97.0
F,1.52,55.9
M,1.85,121.3
F,1.63,68.3
F,1.62,65.7
F,1.76,85.2
F,1.58,58.2
M,1.77,117.4
M,1.75,59.1
F,1.59,60.5
F,1.54,94.7
F,1.76,56.4
M,1.82,87.2
M,1.97,128.2
M,1.61,42.6
M,1.89,70.6
M,1.77,105.6
M,1.82,83.7
M,1.78,71.8
M,1.73,74.2
M,1.81,93.9
M,1.67,46.7
F,1.65,74.9
F,1.6,51.2
M,1.83,91.5
F,1.8,58.6
F,1.59,97.9
F,1.65,55.4
M,1.56,61.8
F,1.77,87.4
F,1.63,71.3
M,1.66,81.3
M,1.81,70.0
F,1.68,71.5
M,1.84,89.7
M,1.92,79.8
M,1.61,84.3
F,1.68,68.3
F,1.6,75.6
M,1.79,82.9
M,1.87,118.4
F,1.73,55.6
M,1.83,91.8
F,1.79,79.6
F,1.69,60.5
F,1.6,57.2
F,1.67,71.5
F,1.65,62.1
F,1.74,118.6
M,1.72,91.9
F,1.54,52.5
M,1.64,85.2
F,1.58,50.2
M,1.55,50.2
M,1.72,75.1
M,1.78,88.4
F,1.63,77.4
M,1.85,83.4
F,1.87,92.3
M,1.75,82.8
M,1.87,111.7
F,1.56,71.9
F,1.62,63.7
M,1.72,99.4
F,1.61,56.4
M,1.92,89.1
M,1.52,48.8
F,1.67,53.8
F,1.59,62.4
M,1.81,68.0
F,1.45,55.3
M,1.74,57.4
M,1.74,62.7
F,1.62,92.3
F,1.56,61.4
M,1.77,60.8
M,1.82,55.9
F,1.48,71.8
M,1.87,79.9
F,1.7,68.1
M,1.9,107.4
F,1.67,109.5
F,1.58,56.1
F,1.62,66.9
M,1.75,72.2
M,1.63,78.0
F,1.63,90.0
F,1.52,59.9
M,1.78,75.1
M,1.86,105.9
M,1.76,89.3
M,1.79,119.7
F,1.69,65.7
F,1.64,72.5
F,1.71,70.1
F,1.79,66.4
M,1.7,60.4
M,1.74,81.9
F,1.69,55.0
F,1.76,74.5
M,1.66,57.8
M,1.84,96.6
M,1.88,80.0
F,1.63,72.9
F,1.72,75.5
F,1.51,80.5
F,1.65,98.4
M,1.83,71.4
M,1.73,84.4
F,1.66,90.1
M,1.89,90.6
M,1.66,83.9
F,1.69,73.8
M,1.88,69.2
F,1.69,75.2
F,1.72,61.4
F,1.64,74.3
M,1.87,82.3
F,1.6,62.8
F,1.78,59.5
F,1.61,70.4
F,1.72,58.9
F,1.48,76.8
F,1.7,56.9
F,1.58,61.4
M,1.64,75.1
F,1.67,77.2
M,1.61,73.5
M,1.84,83.3
F,1.67,61.4
M,1.57,48.8
M,1.77,58.5
F,1.61,56.0
M,1.69,69.5
F,1.72,83.9
F,1.56,87.5
F,1.57,49.4
F,1.58,43.6
M,1.67,73.6
F,1.57,59.0
F,1.7,94.2
F,1.58,50.6
F,1.47,80.1
F,1.47,52.0
F,1.54,69.5
M,1.8,80.1
M,1.74,84.8
F,1.57,55.5
F,1.65,87.1
M,1.64,69.1
F,1.56,62.2
M,1.7,64.8
M,1.64,63.8
F,1.66,49.1
F,1.6,75.8
F,1.62,54.3
F,1.57,47.9
M,1.48,44.9
F,1.57,73.4
F,1.7,65.3
M,1.8,114.7
M,1.86,92.6
F,1.7,61.8
M,1.77,72.1
M,1.77,82.1
M,1.75,63.6
M,1.9,88.1
F,1.6,69.0
M,1.71,67.7
F,1.64,76.0
F,1.64,66.6
M,1.82,80.8
M,1.72,79.4
F,1.73,112.2
M,1.8,89.4
F,1.77,118.4
M,1.64,59.4
M,1.94,102.3
F,1.76,68.0
M,1.68,92.6
F,1.67,70.0
M,1.69,107.0
F,1.52,63.8
F,1.81,83.3
M,1.59,55.0
F,1.62,69.5
F,1.66,59.3
M,1.85,89.2
F,1.63,73.1
F,1.49,53.2
M,1.75,65.4
M,1.82,86.6
F,1.6,65.6
M,1.75,65.3
F,1.76,93.5
F,1.81,77.4
F,1.58,63.2
F,1.61,76.7
F,1.69,90.5
M,1.62,57.0
F,1.59,80.3
F,1.78,91.6
M,1.72,83.2
M,1.67,71.1
M,1.72,112.5
F,1.72,58.8
F,1.68,55.3
F,1.66,104.1
M,1.8,75.8
M,1.6,65.8
M,1.92,101.7
F,1.66,64.7
M,1.83,62.2
F,1.63,60.1
F,1.73,86.2
M,1.7,82.2
M,1.74,50.9
M,1.85,79.1
M,1.8,81.6
F,1.74,62.0
M,1.8,94.2
F,1.89,111.6
F,1.76,78.1
M,1.66,69.4
F,1.5,51.6
M,1.55,45.2
M,1.59,73.3
F,1.53,40.3
F,1.65,56.3
F,1.65,63.8
M,1.82,74.4
M,1.98,104.8
M,1.85,131.5
M,1.66,78.6
F,1.68,68.4
F,1.62,67.9
F,1.67,76.8
F,1.78,67.0
M,1.81,99.4
M,1.76,65.0
M,1.57,58.1
F,1.55,49.2
F,1.56,51.4
F,1.64,75.0
F,1.61,54.7
M,1.8,87.2
F,1.58,71.6
M,1.89,102.2
F,1.89,85.1
F,1.72,55.0
M,1.81,83.4
M,1.76,69.8
F,1.64,74.0
M,1.72,69.6
M,1.66,76.2
M,1.83,120.5
M,1.83,78.5
F,1.59,63.3
F,1.54,69.3
F,1.62,64.0
F,1.63,67.9
F,1.74,69.1
F,1.64,72.5
F,1.7,72.6
M,1.76,63.1
F,1.43,56.5
M,1.76,85.9
M,1.61,90.5
M,1.81,75.5
F,1.77,62.7
M,1.73,68.1
M,1.87,81.9
F,1.5,47.4
M,1.68,55.0
F,1.56,45.8
F,1.52,47.7
M,1.63,78.9
M,1.74,63.7
F,1.69,61.4
F,1.64,63.9
M,1.9,90.5
F,1.68,80.7
M,1.76,57.9
F,1.56,58.2
M,1.69,60.3
M,1.87,97.3
F,1.7,100.3
F,1.56,68.4
F,1.63,64.4
M,1.61,63.8
F,1.7,99.7
F,1.68,72.2
M,1.87,100.8
F,1.66,68.9
M,1.5,56.5
F,1.82,91.4
F,1.56,46.0
F,1.72,57.8
M,1.76,63.0
M,1.78,120.2
M,1.8,127.3
F,1.66,75.5
M,1.96,112.6
F,1.68,60.9
M,1.86,75.0
F,1.63,60.6
F,1.49,41.9
M,1.66,103.5
F,1.55,57.1
F,1.74,67.9
F,1.58,69.7
F,1.67,79.1
M,1.79,71.4
M,1.61,68.8
F,1.66,80.4
M,1.89,79.0
M,1.72,95.5
M,1.85,102.1
F,1.51,78.9
M,1.81,82.2
F,1.63,55.5
F,1.72,62.7
F,1.58,55.2
M,1.67,80.6
F,1.66,81.5
F,1.62,60.9
F,1.64,65.8
F,1.55,69.3
M,1.93,102.1
M,1.81,69.1
F,1.47,79.6
M,1.81,83.0
F,1.61,53.0
F,1.68,52.4
M,1.88,66.3
M,1.56,63.8
M,1.68,53.2
M,2.04,106.1
F,1.62,49.4
M,1.65,52.6
M,1.56,47.5
M,1.88,117.4
F,1.44,57.9
F,1.56,92.4
F,1.75,83.0
M,1.72,114.4
M,1.77,70.1
M,1.75,50.1
F,1.8,86.3
M,1.77,79.4
F,1.66,57.4
M,1.9,97.7
F,1.65,62.8
M,1.71,90.0
M,1.63,75.1
F,1.71,68.0
M,1.6,59.3
F,1.66,105.5
M,1.74,49.1
M,1.7,57.4
M,1.83,89.1
M,1.7,72.7
M,1.69,77.8
M,1.7,66.7
M,1.69,70.4
M,1.69,73.5
F,1.53,61.1
M,1.81,68.4
F,1.64,62.5
M,1.74,69.9
M,1.75,74.9
M,1.86,63.0
M,1.84,77.3
F,1.6,66.0
M,1.76,88.1
F,1.58,54.5
F,1.54,60.4
F,1.43,47.2
F,1.82,95.5
M,1.75,61.8
F,1.66,67.3
F,1.61,57.8
F,1.61,69.3
M,1.8,77.9
F,1.77,65.5
M,1.71,67.3
F,1.72,65.4
M,1.63,79.4
M,1.71,55.2
M,1.95,104.0
M,1.85,90.8
F,1.71,110.1
F,1.72,69.7
M,1.77,58.9
F,1.61,70.1
M,1.65,59.4
M,1.62,55.0
M,1.71,76.6
M,1.76,65.8
F,1.76,85.0
M,1.91,88.9
M,1.97,119.5
F,1.73,78.4
M,1.78,85.0
M,1.61,50.0
F,1.69,74.5
M,1.75,74.2
M,1.78,91.2
M,1.92,78.6
M,1.5,50.0
M,1.93,102.2
F,1.64,60.5
F,1.51,46.3
M,1.63,96.9
F,1.55,63.0
M,1.73,66.4
F,1.49,48.2
M,1.76,74.6
F,1.49,81.6
